Name,Website,Logo URL,Venture Space,One Liner,Location,Funding Round,Funding Amount,Year Founded,Key Person,Contact,Contact 2,Key Action
Snackworthy,https://www.snackworthy.com/,https://www.snackworthy.com/storage/app/media/brand/logo-no-tagline@2x.png,Unbranded Consumables,White label food supplier of healthy snacks,US,Undisclosed,Undisclosed,2016,Unknown,Email,info@snackworthy.com,Kickstart own branded product with an emphasis on novel natural substances infused into the snacks/drinks
Mackle Snacks,http://macklesnacks.co.uk/,https://lh3.googleusercontent.com/proxy/_U0Q-yrNYMvRfoyrNo72dZzhrx5z0K2-ngB_JV42yW8HwymnEhd9EwFbaaCKWDcYODuhK2701XgJ_V14_euMn9NzrQcNx293AaZ7dYU9ULmwSXpKnXDsbsmXZNUBqrsivuMvb4jLrjuGNXY2csSiNJ0tTVHGlst9Zw,Unbranded Consumables,End-to-end white label snack provider based in UK,UK,Undisclosed,Undisclosed,2012,Joseph Mackle,LinkedIn,https://www.linkedin.com/in/joseph-mackle-221b7419/?originalSubdomain=uk,Introduce new natural alternative snack products into their existing white label product lines and get a commission for each sale of these items to other retailers
Deliciously Ella,https://deliciouslyella.com/,https://logicalfmcg.co.uk/wp-content/uploads/2019/01/Deliciously-ella-logo.png,Next Generation Consumables,One stop website for healthy foods and snacks ,UK,Undisclosed,Undislcosed,2012,Ella Woodward,Instagram,https://www.instagram.com/deliciouslyella/?hl=en,Co-design and build a new snack product or “energy ball” and leverage UK distribution network to test traction of product in market
Nourished,https://get-nourished.com/,https://lh3.googleusercontent.com/proxy/LFCXfkhQtxtr9NlGZbp04XB0ZJEWjWpJ4gApQqoU0FnE_BFs9bnzlM0OLnAWPATyTIfpYTmxija_gGRnzv_kNEOYUzdOxxcWDbWbdiSLyxE53WD5FEkeFw4eWirsJHnSzw,Next Generation Consumables,Personalised 3D printed gummi snacks,US,Seed,$2.56M,2018,Melissa Snover,LinkedIn,https://www.linkedin.com/in/melissa-snover-84276920/?originalSubdomain=uk,Explore partnership potential for introducing novel natural substances that go beyond long term nutrition and provide short term energy boost
Unbound,https://unboundbabes.com/,https://pregnantish.com/wp-content/uploads/2018/01/unbound-babes-1.png,Sex Enhancement Solution,Female branded sexual wellness retailer,US,Seed,$3.7M,2014,Polly Rodriguez,LinkedIn,https://www.linkedin.com/in/pollycrodriguez/,"Enhance personal lubricant product of Unbound with novel natural substances (aphrodisiacs), notably supplementing their stimulation serum range"
Maude,https://getmaude.com/,https://media-exp1.licdn.com/dms/image/C560BAQFX5IzmnuevMg/company-logo_200_200/0?e=2159024400&v=beta&t=kWJUd9D2tlenkAhqBr0yPCqOFULuywjWuGqVxPz83ZQ,Sex Enhancement Solution,Modern and simplistic sexual wellness products,US,Seed,$1.5M,2017,Dina Epstein,LinkedIn,https://www.linkedin.com/in/dina-epstein-93a93b4b/,"Engage with them to assess appetite for new, substance based solution to add to their product range"
Bloomi,https://thebloomi.com/,https://cdn.shopify.com/s/files/1/2369/9553/files/Bloomi-logotype-RGB-no-bkgnd_center-black_360x.png?v=1557602839,Sex + Platform,Toxic-free intimate care products,US,Seed,Undisclosed,2017,Rebecca Story,Linkedin,https://www.linkedin.com/in/rebeccastory/,Discuss how they conduct due diligence on the products on their marketplace and craft sex products based on their requirements
Passion,http://www.passionlubes.com/,http://www.passionlubes.com/images/header.jpg,Sex + Platform,Specialised lubricant manufacturer and wholesaler,US,Undisclosed,Undisclosed,2016,Unknown,Email,info@xrbrands.com,Source personal lubricants at wholesale prices from Passion and enhance them with sex boosting substances to sell on premium platforms
White Label Cocktails,https://www.whitelabelcocktails.co.uk/,https://uploads-ssl.webflow.com/5e53a6ae337309e047fb12b5/5e53ae6c33730942bbfb5519_WLC%20Horizontal%20Logo%20-%20Inverted-p-500.png,Psychoactive Drinks Provider,White Label personalised ready-mixed cocktails,UK,Undisclosed,Undisclosed,2016,Unknown,Email,hello@whitelabelcocktails.co.uk,"Leverage their distribution network to fast track our market activity, supplementing their solution with our psychoactive substances"
DBL Brands,https://www.dblbrands.com/,"https://static.wixstatic.com/media/5e1a5b_a37e2bf03bee4f249f8bd6f4f76907a8~mv2.jpg/v1/fill/w_743,h_525,al_c/5e1a5b_a37e2bf03bee4f249f8bd6f4f76907a8~mv2.jpg",Psychoactive Drinks Provider,Develops custom brands for both alcoholic and non alcholic drinks,US,Undisclosed,Undisclosed,2011,Unknown,Email,info@dblbrands.com,Supply DBL Brands with natural psychoactive substances that can enhance their non-alcoholic beverage lines
Kin Euphorics,https://www.kineuphorics.com/,"https://res.cloudinary.com/kineuphorics/image/upload/q_auto,f_auto/v1560905920/amazon/website/hi-res-blue-logo.png",Premium drinks brand,Customer facing non-alcoholic drink with natural substances inducing alcohol-like euphoric effects,US,N/A,Unfunded,2018,Jennifer Batchelor,LinkedIn,https://www.linkedin.com/in/jenofkin/,Replicate brand marketing as well as ingredients to create own non-alcoholic line with similar effects as alcohol
Seedlip,http://seedlipdrinks.com/,https://d256619kyxncpv.cloudfront.net/gui/img/2018/09/12/10/2018091210_15367483807118_original.png,Premium drinks brand,Non-alcoholic cocktail provider primarily servicing high end restaurants and bars,US,Acquired,N/A,2014,Ben Branson,LinkedIn,https://www.linkedin.com/in/benbranson/,Leverage Seedlip’s extensive restaurant and bar network and sell natural psychoactive substances directly to Seedlip to enhance proposition
TickEat,http://www.tickeat.co.uk/,https://s3-eu-west-1.amazonaws.com/cdn.webfactore.co.uk/sr_471292.png?1537558108,Deep sleep for premium flyer,B2B sales enablement intermediary for aviation industry,UK,Undisclosed,Undisclosed,2015,Heerum Fleary,LinkedIn,https://www.linkedin.com/in/heerum-fleary-640b4a35/?originalSubdomain=uk,Develop relationships with key airlines and proper branding for new deep sleep drink product by collaborating with TickEat
Nib Nibs,https://www.nibnibs.com/,https://www.nibnibs.com/assets/images/Nibnibs-logo-large.png,Deep sleep for premium flyer,Snack supplier for international airlines,UK,Undisclosed,Undisclosed,2009,Darren Everitt,LinkedIn,https://www.linkedin.com/in/darren-everitt-a91b4b83/?originalSubdomain=uk,Work directly with airline food/drink provider Nib Nibs to introduce new line of sleep enhancing drink
Klova,https://www.klova.com/,https://cdn.shopify.com/s/files/1/2065/0707/files/logo-dark_a9d99f76-e5f0-41dc-8d5f-a2c6ff4c8eba_250x@2x.png?v=1517045156,Deep sleep consumer brand,Deep sleep scent patch with natural substances,US,Undisclosed,Undisclosed,2018,Undisclosed,Email,support@klova.com,Develop more potent version of patch that is also digitally distributed via ecommerce
